# This is a dataframe of the used to calculate anomalies for the varying-solar group. Used for:
# - ??
STARTtime,ENDtime,NETtoa,NETsurf,SWtoa,LWtoa,SWsurf,LWsurf,LH,SH,Ts,ConvPrec,StratPrec,ppm,insol
859680000.0,945993600.0,0.17062826233058104,0.007904454799959382,-216.92716779889759,217.09779606122814,-184.39217564615842,133.20030766698892,26.87112256639736,24.328649867572107,265.85652863215074,0.9286664499669559,0.0,270,255
859680000.0,945993600.0,0.16496479243488693,0.004753469419085832,-221.2731620251036,221.43812681753846,-186.3244570689098,131.9165499390543,30.37574513875412,24.03691546052043,267.8728008110237,1.0499042057262524,0.0,270,260
859680000.0,945993600.0,0.1236076416024332,0.008827840804450204,-225.83812120248558,225.961728844088,-189.01289038705943,132.15737053213408,34.246489255990575,22.61785843973925,269.82219530551663,1.1566992366111588,0.0,270,265
859680000.0,945993600.0,0.11118708995297766,0.01768649478794515,-230.2175213496851,230.3287084396381,-190.54301246906215,129.90716901970458,39.287870326651735,21.365659617493773,271.7987132188248,1.3582466727173508,0.0,270,270
859680000.0,945993600.0,0.07578977334881642,0.0027360717454527612,-234.59016409764274,234.6659538709916,-192.15020173253558,128.15728553703426,43.46274040104045,20.532911866206348,273.77327411201514,1.502072734299427,3.8050247334896647e-17,270,275
859680000.0,945993600.0,0.03839527701538259,-0.0035970314830748857,-238.98371993822772,239.02211521524316,-193.5247256636564,125.98272517978552,48.34208855757949,19.196314894808282,275.7355501079493,1.670701854636555,2.414381098766517e-18,270,280
859680000.0,945993600.0,0.011872908264308537,0.0013733419662891322,-243.32425189196763,243.33612480023197,-195.53941432413959,124.78560063428478,53.668570020386284,17.086617011434814,277.3444705176318,1.8552557955549007,0.0,270,285
859680000.0,945993600.0,-0.03564165972221645,-0.0014302423861067837,-247.98894003870248,247.95329837898026,-197.06627548734463,122.5126089371492,60.00998541187433,14.542250895934991,279.4520923458586,2.0713516792861464,0.0,270,290
859680000.0,945993600.0,-0.13404400090729496,-0.012601109860424842,-252.3183552882917,252.18431128738445,-199.24680632029632,122.20211304978001,65.42063970691143,11.611452453744409,281.2874765900943,2.260111525347043,1.4281755343511194e-13,270,295
859680000.0,945993600.0,-0.19086282809001887,-0.007128986600450916,-256.7232718920354,256.5324090639454,-200.52075873836296,119.68505279889492,71.56885244431737,9.259724508550203,283.1827304424616,2.4594534203882525,1.0590845880230677e-14,270,300
859680000.0,945993600.0,-0.2730411110811133,-0.014891898608979659,-261.10157760455485,260.8285364934737,-202.1232381864771,118.71672401123064,75.19358131720476,8.198040959432673,285.0377332667298,2.592407514358977,3.2616320343650643e-13,270,305
859680000.0,945993600.0,-0.3691757384273728,-0.024492320655922658,-265.50131294288457,265.1321372044572,-203.43627051549274,116.40276486590669,79.56326285631249,7.445750472617619,286.86726999019834,2.7448576259988453,2.240369915876232e-12,270,310
859680000.0,945993600.0,-0.4893742325826906,-0.06554845021802523,-269.9149226701897,269.42554843760706,-204.56814945603557,113.62441265400429,84.15109953259484,6.727088819218415,288.69216187198435,2.9045034023210747,5.294302854816751e-12,270,315
859680000.0,945993600.0,-0.5788530875393008,-0.03897810525797052,-274.6880333505925,274.1091802630532,-204.79129777705762,108.82290048954106,89.99174527255884,5.9376739096997095,291.16437162926536,3.1108155057239517,6.197666251431242e-12,270,320
859680000.0,945993600.0,-0.7633661620299677,-0.08285870677323802,-279.23081563940394,278.4674494773739,-204.4436450812291,102.03900884679494,96.76504596265735,5.556731565003529,293.59756713773095,3.3309253411433963,2.664719994708892e-13,270,325
859680000.0,945993600.0,-1.7715488761415372,-0.7087396458433428,-284.0264530105197,282.25490413437814,-201.2635440010864,86.4246588955355,109.47772820323452,4.652417256473038,297.43504642117523,3.7843292808137323,1.2728106174901332e-11,270,330
859680000.0,945993600.0,-0.7210758855205199,-3.1375940800032267,-288.54817283594895,287.82709695042837,-201.18012251761047,74.36715772516152,123.4322054407003,0.24316527174542435,299.81596478970823,0.0,8.014849578438981e-13,270,335
